Episode 3/2000, Reward: -62.239296554725996 Cash: 200.0 
Episode 5/2000, Reward: -57.35874104353319 Cash: 186.46182017972973 
Episode 7/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 9/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 11/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 13/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 15/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 17/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 19/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 21/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 23/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 25/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 27/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 29/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 31/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 33/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 35/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 37/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 39/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 41/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 43/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 45/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 47/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 49/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 51/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 53/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 55/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 57/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 59/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 61/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 63/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 65/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 67/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 69/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 71/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 73/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 75/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 77/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 79/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 81/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 83/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 85/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 87/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 89/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 91/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 93/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 95/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 97/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 99/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 101/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 103/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 105/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 107/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 109/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
Episode 111/2000, Reward: -66.37290184374109 Cash: 95.57398245195681 
